date,open,high,low,close
11/12/2019 20:00,5.812,5.8122,5.8114,5.8115
11/12/2019 20:10,5.8115,5.8116,5.8088,5.8107
11/12/2019 20:20,5.8107,5.8108,5.8086,5.8087
11/12/2019 20:30,5.8087,5.8094,5.8084,5.8092
11/12/2019 20:40,5.8092,5.8095,5.8071,5.8074
11/12/2019 20:50,5.8074,5.8104,5.8055,5.8104
11/12/2019 21:00,5.8102,5.8128,5.8083,5.8108
11/12/2019 21:10,5.8108,5.8109,5.8067,5.8073
11/12/2019 21:20,5.8073,5.8082,5.8049,5.8062
11/12/2019 21:30,5.8062,5.8067,5.8049,5.8054
11/12/2019 21:40,5.8054,5.8058,5.8002,5.8007
11/12/2019 21:50,5.8007,5.8016,5.7963,5.7976
11/12/2019 22:00,5.7976,5.8001,5.7974,5.7988
11/12/2019 22:10,5.7988,5.8005,5.7985,5.7996
11/12/2019 22:20,5.7996,5.8006,5.7987,5.8006
11/12/2019 22:30,5.8006,5.8014,5.8004,5.8009
11/12/2019 22:40,5.8009,5.8021,5.7991,5.8
11/12/2019 22:50,5.8,5.8002,5.7994,5.7997
11/12/2019 23:00,5.7997,5.7999,5.7989,5.7993
11/12/2019 23:10,5.7993,5.8014,5.7989,5.8002
11/12/2019 23:20,5.8002,5.802,5.7998,5.8009
11/12/2019 23:30,5.8009,5.801,5.8005,5.8007
11/12/2019 23:40,5.8006,5.801,5.7994,5.8005
11/12/2019 23:50,5.8005,5.8068,5.7998,5.8035
12/12/2019 00:00,5.8038,5.8071,5.7974,5.805
12/12/2019 00:10,5.805,5.8081,5.7989,5.806
12/12/2019 00:20,5.806,5.8084,5.8025,5.806
12/12/2019 00:30,5.806,5.8082,5.8022,5.8057
12/12/2019 00:40,5.8057,5.808,5.8043,5.8045
12/12/2019 00:50,5.8045,5.8071,5.8039,5.8067
12/12/2019 01:00,5.8067,5.808,5.8055,5.8065
12/12/2019 01:10,5.8065,5.8072,5.8041,5.8041
12/12/2019 01:20,5.8041,5.8059,5.8029,5.8034
12/12/2019 01:30,5.8034,5.8057,5.8032,5.8057
12/12/2019 01:40,5.8057,5.8061,5.8027,5.8042
12/12/2019 01:50,5.8042,5.8054,5.8034,5.8039
12/12/2019 02:00,5.8039,5.8046,5.8022,5.8027
12/12/2019 02:10,5.8027,5.8036,5.8018,5.8022
12/12/2019 02:20,5.8022,5.8026,5.801,5.8015
12/12/2019 02:30,5.8015,5.8028,5.8011,5.8027
12/12/2019 02:40,5.8028,5.8032,5.8024,5.8025
12/12/2019 02:50,5.8025,5.8048,5.8009,5.8044
12/12/2019 03:00,5.8044,5.8044,5.8022,5.8031
12/12/2019 03:10,5.8031,5.8045,5.8029,5.8034
12/12/2019 03:20,5.8034,5.8037,5.8023,5.8028
12/12/2019 03:30,5.8028,5.8032,5.8021,5.8032
12/12/2019 03:40,5.8032,5.8039,5.8028,5.8034
12/12/2019 03:50,5.8034,5.8045,5.8031,5.8032
12/12/2019 04:00,5.8032,5.8038,5.8028,5.8035
12/12/2019 04:10,5.8035,5.8038,5.8029,5.8038
12/12/2019 04:20,5.8038,5.8043,5.8034,5.8034
12/12/2019 04:30,5.8034,5.804,5.8029,5.8034
12/12/2019 04:40,5.8034,5.8045,5.8032,5.8039
12/12/2019 04:50,5.8039,5.8042,5.8038,5.8042
12/12/2019 05:00,5.8041,5.8051,5.8031,5.8034
12/12/2019 05:10,5.8034,5.8038,5.8029,5.803
12/12/2019 05:20,5.8031,5.8035,5.8009,5.8012
12/12/2019 05:30,5.8012,5.8021,5.8008,5.8014
12/12/2019 05:40,5.8014,5.8018,5.8009,5.801
12/12/2019 05:50,5.801,5.8018,5.8008,5.8016
12/12/2019 06:00,5.8016,5.8022,5.8012,5.8016
12/12/2019 06:10,5.8016,5.8018,5.8006,5.8014
12/12/2019 06:20,5.8014,5.8037,5.8009,5.8015
12/12/2019 06:30,5.8015,5.802,5.8011,5.8018
